...................................................................................................................................................
...................................................................................................................................................
...................................................................................................................................................
...................................................................................................................................................
...................................................................................................................................................
...................................................................................................................................................
...................................................................................................................................................
...................................................................................................................................................
...................................................................................................................................................
.................................................                                                                                               ###
.................................................                                                                                               +B+
.................................................                                                                                               ###
.................................................   ........................................................   ....................................
.................................................   ........................................................   ....................................
.................................................   ........................................................   ....................................
.................................................   ........................................................   ....................................
.................................................   ........................................................   ....................................
.................................................   ........................................................   ....................................
.................................................   ........................................................   ....................................
.................................................   ........................................................   ....................................
.................................................   ........................................................   ....................................
+                                                   ...............................................                    ............................
+                                                   ...............................................                    ............................
+                                                   ...............................................                    ............................
...................................................................................................   ..............   ............................
...................................................................................................   ..............   ............................
...................................................................................................   ..............   ............................
...................................................................................................   ..............   ............................
...................................................................................................   ..............   ............................
...................................................................................................   ..............   ............................
...................................................................................................+++..............+++............................
